KOR,MATH,GRADE
21,44,C
87,85,A
19,19,C
47,17,C
60,83,A
76,68,A
29,46,C
41,77,B
26,84,B
77,17,B
70,58,B
12,55,C
83,46,B
16,45,C
47,67,B
46,32,C
96,59,A
51,26,C
55,46,B
35,67,B
80,59,B
29,92,B
37,56,B
96,54,A
61,34,B
48,18,C
92,22,B
87,70,A
13,77,B
43,32,C
23,12,C
62,70,B
53,67,B
66,78,A
99,44,A
77,60,B
92,35,B
57,61,B
78,56,B
80,66,A
22,99,B
80,70,A
99,40,B
57,84,A
87,87,A
11,52,C
33,49,B
63,66,B
10,99,B
19,20,C
76,55,B
82,77,A
60,41,B
35,29,C
10,51,C
86,31,B
81,59,A
49,96,A
86,57,A
84,80,A
91,99,A
90,63,A
97,94,A
44,16,C
12,11,C
96,10,B
39,22,C
100,32,B
49,70,B
13,51,C
79,66,A
88,60,A
80,47,B
95,21,B
17,43,C
36,63,B
24,77,B
79,31,B
43,22,C
92,14,B
22,39,C
83,84,A
25,93,B
49,86,B
70,23,B
66,20,B
72,88,A
60,93,A
26,18,C
49,66,B
40,69,B
32,42,C
46,56,B
42,87,B
61,92,A
79,49,B
58,25,B
15,86,B
92,93,A
77,38,B
12,95,B
10,52,C
100,44,A
20,75,B
46,69,B
20,94,B
65,86,A
52,44,B
22,93,B
92,86,A
50,68,B
33,91,B
46,51,B
34,54,B
77,61,B
62,64,B
95,84,A
42,99,A
27,91,B
16,78,B
51,85,B
86,77,A
94,76,A
28,28,C
20,30,C
18,53,C
54,77,B
74,21,B
45,21,C
53,94,A
91,13,B
61,100,A
90,49,B
90,31,B
99,93,A
57,83,A
85,19,B
52,27,C
58,38,B
65,19,B
60,17,C
37,84,B
48,74,B
28,38,C
96,35,B
16,92,B
63,77,A
34,17,C
70,46,B
42,97,B
33,99,B
33,27,C
62,35,B
62,72,B
16,23,C
72,41,B
95,66,A
33,99,B
37,22,C
66,88,A
18,33,C
63,66,B
20,87,B
16,69,B
37,77,B
53,26,C
12,10,C
21,34,C
24,33,C
64,75,B
80,21,B
98,89,A
69,69,B
11,82,B
23,56,C
42,20,C
24,27,C
65,74,B
40,29,C
28,34,C
92,14,B
45,83,B
32,44,C
79,46,B
12,31,C
11,15,C
47,61,B
20,15,C
11,19,C
44,22,C
55,100,A
51,95,A
35,81,B
61,67,B
51,22,C
91,92,A
69,67,B
75,26,B
71,98,A
61,10,C
36,82,B
92,31,B
13,25,C
97,79,A
95,74,A
62,36,B
74,96,A
16,40,C
50,14,C
74,20,B
29,71,B
76,11,B
46,39,B
44,78,B
87,85,A
72,11,B
48,65,B
65,66,B
35,56,B
79,31,B
57,60,B
18,54,C
82,12,B
74,39,B
72,32,B
93,38,B
75,93,A
82,85,A
50,16,C
27,96,B
51,32,B
29,79,B
42,75,B
50,35,B
85,93,A
27,33,C
100,92,A
11,77,B
16,73,B
54,83,B
77,11,B
30,32,C
10,53,C
28,16,C
13,30,C
85,51,B
66,92,A
99,97,A
100,89,A
92,18,B
42,49,B
100,63,A
41,42,B
37,54,B
50,87,B
70,16,B
11,92,B
35,37,C
31,12,C
91,66,A
25,44,C
37,71,B
51,93,A
61,45,B
84,63,A
68,82,A
45,16,C
44,91,B
87,69,A
56,65,B
90,76,A
100,34,B
75,16,B
28,58,B
84,84,A
47,45,B
68,51,B
89,22,B
84,85,A
93,65,A
38,63,B
71,41,B
15,98,B
10,93,B
22,99,B
75,74,A
72,46,B
76,60,B
78,76,A
38,20,C
15,82,B
71,68,B
68,57,B
98,80,A
29,100,B
95,99,A
58,57,B
48,69,B
69,43,B
80,18,B
99,96,A
79,64,A
50,36,B
41,54,B
40,46,B
58,22,B
74,93,A
84,56,A
60,66,B
18,99,B
46,60,B
55,41,B
57,27,B
82,83,A
28,32,C
100,61,A
11,55,C
87,93,A
17,100,B
54,59,B
18,67,B
71,52,B
81,45,B
92,35,B
29,41,C
16,74,B
46,25,C
87,74,A
71,72,A
70,53,B
30,42,C
57,93,A
37,37,C
22,40,C
38,36,C
98,11,B
29,86,B
76,21,B
21,22,C
22,44,C
59,84,A
89,14,B
97,35,B
84,98,A
58,33,B
60,53,B
76,39,B
86,73,A
51,67,B
50,17,C
66,63,B
70,86,A
13,14,C
20,49,C
60,23,B
95,34,B
48,59,B
58,27,B
72,71,A
24,91,B
94,65,A
64,71,B
77,77,A
70,22,B
20,18,C
75,33,B
11,71,B
17,59,C
10,75,B
52,59,B
99,38,B
15,13,C
98,19,B
31,99,B
30,16,C
65,41,B
55,77,B
84,86,A
85,82,A
75,61,B
92,21,B
22,69,B
94,44,B
23,81,B
23,45,C
82,97,A
81,50,B
31,43,C
40,83,B
20,39,C
30,56,B
16,79,B
29,45,C
73,76,A
43,68,B
63,27,B
18,54,C
19,100,B
28,51,C
33,59,B
73,20,B
28,81,B
52,25,C
53,72,B
40,51,B
78,50,B
56,63,B
69,38,B
41,65,B
33,61,B
77,64,A
14,85,B
83,68,A
62,20,B
92,37,B
13,89,B
83,80,A
99,78,A
34,14,C
80,90,A
97,56,A
91,86,A
97,20,B
35,29,C
91,18,B
15,66,B
24,88,B
93,83,A
47,17,C
85,12,B
20,52,C
85,71,A
93,87,A
98,19,B
45,100,A
80,66,A
37,21,C
95,87,A
81,41,B
67,21,B
61,54,B
78,50,B
94,81,A
65,94,A
33,32,C
50,41,B
32,74,B
